Run command: "java  -classpath .:./bin:./libs/api-1.1.0.jar:./libs/gson-2.2.jar main/ClusterAnalyzer" 
--------------------------
User 38998 had most receipts
User 31124 had most money received
427 Seem to have paid the FBI
16ff8XiPrnjeDXokSeZyAe2f2nRVNDebbD Paid the FBI with ID 19457
1Mk6CV3Y6zmZWA53AuJC5M4SkS4wchpSuQ Paid the FBI with ID 58369
18w1rRkx6U7Ey1HgAW9VMyfk5RmiJhGv9A Paid the FBI with ID 31746
1A5yBiV2NP8McYkUhkF2HKyPD7yT6y9bru Paid the FBI with ID 1030
14yaw79FU85dpCYw9Yv7hQU6kTtRbVqgeG Paid the FBI with ID 2054
1HUyg6YxAdDccfL83JLRDZB8ro8MDTkBdc Paid the FBI with ID 14344
13NiXKe6fKdey43AKfAARAJ8t8YxKXmyP8 Paid the FBI with ID 14344
1K4uhnHnLwvoo5fXzRHgUAPnpgnEXrirJ6 Paid the FBI with ID 14344
1FSwRopZjzzme6g1eM4vcu3nDrRh1E8WL Paid the FBI with ID 14344
1BmDiy1HojEBTLruAWYCrQpER7sGwGyNG2 Paid the FBI with ID 14344
12QMqfYbXWqFgG71fzAKkYTtemRhc6kcYg Paid the FBI with ID 14344
18gZC5rRXHsebiC3zf7KHhuVS8ehhGo1JE Paid the FBI with ID 14344
13K9MRdVgAB1GYmcFjDKDWVEUg76xcMyAT Paid the FBI with ID 14344
17Ae61MmgZ8NcvuMz4Z56HMY3xF8e2Vx6y Paid the FBI with ID 14344
17tkjwQNoniaWHrsG5mxPhBJcgZAPLwnPG Paid the FBI with ID 14344
1FDsrZTiGdreEjyYBCpHeGgMaejBpyAYM5 Paid the FBI with ID 14344
19PJ1VDPeXaWjCx9KGjLSx6AtB92EJ2Uf6 Paid the FBI with ID 14344
141272f5Cyb47uNtjgpxUZ1bhYe1D54ybx Paid the FBI with ID 14344
15ZuKfFL2gcgnh7bmuNhGmt4wbjK2aV5gW Paid the FBI with ID 14344
16xjcbaGbdAZbmSBpTqK6Lw7anSPM47Nnh Paid the FBI with ID 14344
1Q6o4L4HCrGf6gvJ3siGzebfzwNpvz2nEM Paid the FBI with ID 14344
1384jKUenppfUaRhpeBMC9nMF8zqipyPjW Paid the FBI with ID 14344
1K9QjL2cgyDAtF3TYsCYHaQ3Djn69DeMLw Paid the FBI with ID 14344
